Sample in Buffer,Sample in Window,TRIGGER,u_ila_adc/probe[63:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX
231,231,0,6c11800000000004
232,232,0,6c11800000000000
233,233,0,6c11800000000000
234,234,0,6c51800000000004
235,235,0,6c51800000000004
236,236,0,6851800000000000
237,237,0,6851800000000000
238,238,0,6811800000000004
239,239,0,6811800000000004
240,240,0,6811800000000000
241,241,0,6811800000000000
242,242,0,4891800000000004
243,243,0,4a11800000000004
244,244,0,4a11800000000000
245,245,0,4a11800000000000
246,246,0,4a11800000000004
247,247,0,4a11800000000004
248,248,0,4a11800000000000
249,249,0,4a11800000000000
250,250,0,4a31800000000004
251,251,0,4831800000000004
252,252,0,4831800000000000
253,253,0,4831800000000000
254,254,0,4811880000000004
255,255,0,4811880000000004
256,256,0,4811880000000000
257,257,0,6911880000000000
258,258,0,6c11880000000004
259,259,0,6c11880000000004
260,260,0,6c11880000000000
261,261,0,6c11880000000000
262,262,0,6c11880000000004
263,263,0,6c11880000000004
264,264,0,6c11880000000000
265,265,0,6c11880000000000
266,266,0,6851880000000004
267,267,0,6851880000000004
268,268,0,6851880000000000
269,269,0,6851880000000000
270,270,0,6811880000000004
271,271,0,6811880000000004
272,272,0,4891880000000000
273,273,0,4a11880000000000
274,274,0,4a11880000000004
275,275,0,4a11880000000004
276,276,0,4a11880000000000
277,277,0,4a11880000000000
278,278,0,4a11880000000004
279,279,0,4a11880000000004
280,280,0,4a11880000000000
281,281,0,4811880000000000
282,282,0,4831880000000004
283,283,0,4831880000000004
284,284,0,4831880000000000
285,285,0,4831880000000000
286,286,0,4811900000000004
287,287,0,6911900000000004
288,288,0,6c11900000000000
289,289,0,6c11900000000000
290,290,0,6c11900000000004
291,291,0,6c11900000000004
292,292,0,6c11900000000000
293,293,0,6c11900000000000
294,294,0,6c51900000000004
295,295,0,6c51900000000004
296,296,0,6851900000000000
297,297,0,6851900000000000
298,298,0,6811900000000004
299,299,0,6811900000000004
300,300,0,6811900000000000
301,301,0,6811900000000000
302,302,0,4891900000000004
303,303,0,4a11900000000004
304,304,0,4a11900000000000
305,305,0,4a11900000000000
306,306,0,4a11900000000004
307,307,0,4a11900000000004
308,308,0,4a11900000000000
309,309,0,4a11900000000000
310,310,0,4a31900000000004
311,311,0,4831900000000004
312,312,0,4831900000000000
313,313,0,4831900000000000
314,314,0,4811980000000004
315,315,0,4811980000000004
316,316,0,4811980000000000
317,317,0,6911980000000000
318,318,0,6c11980000000004
319,319,0,6c11980000000004
320,320,0,6c11980000000000
321,321,0,6c11980000000000
322,322,0,6c11980000000004
323,323,0,6c11980000000004
324,324,0,6c11980000000000
325,325,0,6c11980000000000
326,326,0,6851980000000004
327,327,0,6851980000000004
328,328,0,6851980000000000
329,329,0,6851980000000000
330,330,0,6811980000000004
331,331,0,6811980000000004
332,332,0,4891980000000000
333,333,0,4a11980000000000
334,334,0,4a11980000000004
335,335,0,4a11980000000004
336,336,0,4a11980000000000
337,337,0,4a11980000000000
338,338,0,4a11980000000004
339,339,0,4a11980000000004
340,340,0,4a11980000000000
341,341,0,4811980000000000
342,342,0,4831980000000004
343,343,0,4831980000000004
344,344,0,4831980000000000
345,345,0,4831980000000000
346,346,0,4811a00000000004
347,347,0,6911a00000000004
348,348,0,6c11a00000000000
349,349,0,6c11a00000000000
350,350,0,6c11a00000000004
351,351,0,6c11a00000000004
352,352,0,6c11a00000000000
