Sample in Buffer,Sample in Window,TRIGGER,u_ila_adc/probe[63:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX
0,0,0,6840e00000000004
1,1,0,6840e00000000000
2,2,0,6840e00000000000
3,3,0,6800e00000000004
4,4,0,4880e00000000004
5,5,0,4a00e00000000000
6,6,0,4a00e00000000000
7,7,0,4a00e00000000004
8,8,0,4a00e00000000004
9,9,0,4a00e00000000000
10,10,0,4a00e00000000000
11,11,0,4a20e00000000004
12,12,0,4a20e00000000004
13,13,0,4820e00000000000
14,14,0,4820e00000000000
15,15,0,4800e80000000004
16,16,0,4800e80000000004
17,17,0,4800e80000000000
18,18,0,4800e80000000000
19,19,0,6900e80000000004
20,20,0,6c00e80000000004
21,21,0,6c00e80000000000
22,22,0,6c00e80000000000
23,23,0,6c00e80000000004
24,24,0,6c00e80000000004
25,25,0,6c00e80000000000
26,26,0,6c00e80000000000
27,27,0,6c40e80000000004
28,28,0,6840e80000000004
29,29,0,6840e80000000000
30,30,0,6840e80000000000
31,31,0,6800e80000000004
32,32,0,6800e80000000004
33,33,0,6800e80000000000
34,34,0,4880e80000000000
35,35,0,4a00e80000000004
36,36,0,4a00e80000000004
37,37,0,4a00e80000000000
38,38,0,4a00e80000000000
39,39,0,4a00e80000000004
40,40,0,4a00e80000000004
41,41,0,4a00e80000000000
42,42,0,4a00e80000000000
43,43,0,4820e80000000004
44,44,0,4820e80000000004
45,45,0,4820e80000000000
46,46,0,4820e80000000000
47,47,0,4800f00000000004
48,48,0,4800f00000000004
49,49,0,6900f00000000000
50,50,0,6c00f00000000000
51,51,0,6c00f00000000004
52,52,0,6c00f00000000004
53,53,0,6c00f00000000000
54,54,0,6c00f00000000000
55,55,0,6c00f00000000004
56,56,0,6c00f00000000004
57,57,0,6c00f00000000000
58,58,0,6800f00000000000
59,59,0,6840f00000000004
60,60,0,6840f00000000004
61,61,0,6840f00000000000
62,62,0,6840f00000000000
63,63,0,6800f00000000004
64,64,0,4880f00000000004
65,65,0,4a00f00000000000
66,66,0,4a00f00000000000
67,67,0,4a00f00000000004
68,68,0,4a00f00000000004
69,69,0,4a00f00000000000
70,70,0,4a00f00000000000
71,71,0,4a20f00000000004
72,72,0,4a20f00000000004
73,73,0,4820f00000000000
74,74,0,4820f00000000000
75,75,0,4800f80000000004
76,76,0,4800f80000000004
